actual	probability	label
1	0.941666	1
1	0.966413	1
1	0.963795	1
0	0.057596	0
1	0.999257	1
0	0.000767	0
1	0.998802	1
0	0.001694	0
1	0.971332	1
0	0.001540	0
1	0.999384	1
0	0.087396	0
0	0.001779	0
1	0.991949	1
1	0.998388	1
1	0.999270	1
0	0.000949	0
1	0.961655	1
1	0.933828	1
0	0.000979	0
1	0.998603	1
1	0.998609	1
1	0.516403	1
0	0.042738	0
1	0.975958	1
0	0.001276	0
1	0.231441	0
1	0.999321	1
0	0.001725	0
1	0.999087	1
1	0.966744	1
1	0.999685	1
0	0.000943	0
1	0.973598	1
0	0.001580	0
1	0.998812	1
0	0.000691	0
1	0.998255	1
1	0.977129	1
1	0.977898	1
0	0.001871	0
0	0.000628	0
0	0.001868	0
1	0.998423	1
0	0.001370	0
1	0.959667	1
0	0.000531	0
1	0.997687	1
1	0.999338	1
1	0.999514	1
0	0.000903	0
1	0.998183	1
0	0.000912	0
0	0.020866	0
1	0.999445	1
1	0.392929	0
1	0.998656	1
0	0.039159	0
1	0.962802	1
1	0.348383	0
1	0.998702	1
1	0.998498	1
0	0.000760	0
1	0.971055	1
1	0.458038	0
1	0.967576	1
1	0.971701	1
0	0.000996	0
1	0.998990	1
1	0.999139	1
1	0.999271	1
0	0.034161	0
0	0.966330	1
0	0.029201	0
1	0.978723	1
0	0.000899	0
1	0.971096	1
0	0.001370	0
0	0.001027	0
0	0.587268	1
0	0.035618	0
0	0.001065	0
1	0.957617	1
1	0.999483	1
0	0.036525	0
1	0.972170	1
1	0.999220	1
1	0.938697	1
0	0.000631	0
0	0.030110	0
1	0.999374	1
0	0.029035	0
0	0.025870	0
1	0.524743	1
0	0.000711	0
1	0.998842	1
0	0.001160	0
0	0.026159	0
0	0.003592	0
1	0.957915	1
1	0.998676	1
0	0.030571	0
0	0.001183	0
1	0.975408	1
0	0.001090	0
0	0.000856	0
0	0.001032	0
1	0.998041	1
1	0.998593	1
0	0.000974	0
1	0.989874	1
0	0.001182	0
0	0.041249	0
0	0.003313	0
0	0.000787	0
1	0.968113	1
1	0.999063	1
0	0.001071	0
0	0.001461	0
1	0.997043	1
0	0.001470	0
0	0.001474	0
0	0.000616	0
0	0.000692	0
0	0.031220	0
1	0.999020	1
0	0.001622	0
0	0.001310	0
0	0.036804	0
1	0.999484	1
0	0.000974	0
1	0.998939	1
1	0.998782	1
1	0.949411	1
1	0.997945	1
0	0.100104	0
